Country,State,City,FIPS Code,Region,Number of Firms,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Length of Paid Maternity Leave (in Weeks),Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Without MED,Corporate Income Effective Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Rate,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Number of Approvals Needed (Rezoning),Number of Approvals Needed (Zoning)
United States,Michigan,Grand Rapids,24340,East North Central,15597,96716,23225,200217,5,8,0,0.86,3,0,0,0,0,6,5,0,0.11,25,130.72,0.96,0.27,0.28,0.06,0.06,0,0,0.04,0.04,0.02,0.02,0.01,0.02,4,0,6,200,3,3
United States,Minnesota,Minneapolis,33460,West North Central,64222,86943,35259,425403,5,1,0.01,0.69,3,0,0,0,0,12,8.67,0,0.1,74,74.43,0.89,0.31,0.29,0.1,0.1,0,0,0.1,0.05,0,0,0,0.03,6,0,7,300,3,3
United States,Minnesota,St. Paul,33460,West North Central,64222,86943,30036,307695,5,1,0.01,0.69,3,0,0,0,0,12,8.67,0,0.1,74,74.43,0.89,0.31,0.29,0.1,0.1,0,0,0.1,0.05,0,0,0,0.01,6,0,7,200,3,3
United States,Mississippi,Jackson,27140,East South Central,8386,48430,35308,164422,5,1,0,0.43,3,0,0,0,0,0,0,0,0.11,21,166.37,1.37,0.26,0.27,0.05,0.03,0,0,0.05,0.03,0,0,0,0.01,5,0,4,250,1,1
United States,Missouri,Kansas City,28140,West North Central,34962,69704,31143,491918,5,1,0,0.63,3,0,0,0,0,0,0,0,0.08,21,166.37,1.37,0.27,0.28,0.06,0.06,0,0,0.05,0.02,0.01,0.01,0,0.03,4,0,6,400,4,4
United States,Missouri,St. Louis,41180,West North Central,52140,69704,26739,302838,5,1,0,0.74,3,0,0,0,0,0,0,0,0.08,21,166.37,1.37,0.27,0.29,0.06,0.06,0,0,0.06,0.02,0.01,0.01,0,0.01,3,0,7,250,5,5
United States,Montana,Billings,13740,Mountain,4293,147040,31854,109550,5,1,0,0.56,3,0,0,0,0,12,0,0,0.11,27,169.24,1.36,0.28,0.29,0.07,0.07,0,0,0.07,0.01,0,0,0,0.01,5,0,6,n/a,4,4
United States,Nebraska,Lincoln,30700,West North Central,6028,77421,30013,287401,6,2,0.01,0.62,3,0,0,0,0,0,0,0,0.09,18,96.17,0.69,0.29,0.29,0.08,0.06,0,0,0.07,0.02,0,0,0,0.02,5,0,5,300,4,4
United States,Nebraska,Omaha,36540,West North Central,15332,77421,30222,468262,6,2,0.01,0.62,3,0,0,0,0,12,0,0,0.09,18,96.17,0.69,0.29,0.29,0.08,0.06,0,0,0.07,0.02,0,0,0,0.02,5,0,5,400,3,3
United States,Nevada,Henderson,29820,Mountain,29265,110567,37861,310390,5,2,0.01,0.4,3,0,0,0,0,12,0,0,0.08,4,62.17,0.77,0.21,0.22,0,0,0,0,0,0,0,0,0,0.01,6,0,5,200,3,3
United States,Nevada,Las Vegas,29820,Mountain,29265,110567,27650,644644,5,2,0.02,0.55,3,0,0,0,1,12,5,0,0.08,4,62.17,0.77,0.21,0.22,0,0,0,0,0,0,0,0,0,0.01,5,0,5,250,3,3
United States,New Hampshire,Manchester,31700,New England,7093,9350,29681,112525,5,5,0.01,0.51,3,0,0,0,0,12,0,0,0.16,4,131.26,1.1,0.29,0.22,0.08,0.08,0,0,0.05,0.05,0,0,0,0.02,4,0,6,250,2,2
United States,New Jersey,Newark,35620,Mid-Atlantic,451787,8729,19313,282090,5,1,0.01,1.18,3,0,0,0,12,12,5,0,0.11,5,97.7,1.02,0.33,0.27,0.11,0.07,0,0,0.09,0.01,0.01,0.01,0,0.03,3,0.01,5,500,3,3
United States,New Mexico,Albuquerque,10740,Mountain,11864,121697,28230,560218,5,2,0,0.69,3,0,0,0,0,12,0,0,0.1,14,166.88,1.32,0.26,0.27,0.06,0.05,0,0,0.05,0.02,0,0,0,0.02,4,0,5,250,2,2
