Data Year,Utility Number,Utility Name,State,Ownership,Short Form,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically
2019,19437,Western Iowa Power Coop,IA,Cooperative,,27,0.27,100,27,0.27,100,27,0.27,100,5412,12.4,Y
2019,19445,"Southern Indiana R E C, Inc",IN,Cooperative,,162.1,1.46,111.0274,133.9,1.22,109.7541,161.9,1.45,111.65517,9476,12.5,Y
2019,19446,Duke Energy Kentucky,KY,Investor Owned,,197,1.44,136.80556,170,1.31,129.77099,162.65,0.928,175.2694,144188,12,Y
2019,19490,United Electric Coop Service Inc - (TX),TX,Cooperative,,143.82,1.518,94.743083,98.367,1.192,82.522651,126.577,1.207,104.8691,86609,25,Y
2019,19493,Union County Electric Coop Inc,SD,Cooperative,,,,,,,,,,,,,
2019,19497,United Illuminating Co,CT,Investor Owned,,,,,,,,,,,,,
2019,19499,"United Power, Inc",CO,Cooperative,,68.12,0.71,95.943662,,,,,,,94474,69,Y
2019,19501,"Union Rural Electric Coop, Inc",OH,Cooperative,,219,2.497,87.705246,84.2,1.313,64.127951,213.1,2.183,97.617957,10382,24.9,Y
2019,19545,"Black Hills Power, Inc. d/b/a",MT,Investor Owned,,436.807,3,145.60233,436.807,3,145.60233,391.807,2,195.9035,41,35,Y
2019,19545,"Black Hills Power, Inc. d/b/a",SD,Investor Owned,,158.741,1.667,95.225555,72.144,1.33,54.243609,155.526,1.55,100.33935,70358,35,Y
2019,19545,"Black Hills Power, Inc. d/b/a",WY,Investor Owned,,15.278,0.094,162.53191,15.278,0.094,162.53191,15.278,0.094,162.53191,2646,35,Y
2019,19547,Hawaiian Electric Co Inc,HI,Investor Owned,,139.1,1.03,135.04854,89.4,0.836,106.9378,139.01,1.018,136.55206,305627,25,N
2019,19558,Homer Electric Assn Inc,AK,Cooperative,,858.07,3.22,266.48137,201,1.08,186.11111,844.28,2.11,400.1327,31920,25,N
2019,19574,Upper Cumberland E M C,TN,Cooperative,,172.826,,,124.22,,,147.957,,,51656,12.5,N
2019,19578,Upper Peninsula Power Company,MI,Investor Owned,,784.8,2.48,316.45161,211.5,1.78,118.82022,782.5,2.39,327.40586,58879,35,N
2019,19579,Upshur Rural Elec Coop Corp,TX,Cooperative,,2308.4,9.36,246.62393,1225.3,7.46,164.24933,1795.3,5.16,347.92636,46806,25,Y
2019,19667,Utilities Dist-Western IN REMC,IN,Cooperative,,654.43,3.99,164.01754,420.46,3.46,121.52023,555.83,2.96,187.78041,19169,15,Y
2019,19728,"UNS Electric, Inc",AZ,Investor Owned,,65.26,1.22,53.491803,7.38,0.02,369,57.88,1.2,48.233333,99308,69,Y
2019,19785,Verdigris Valley Elec Coop Inc,OK,Cooperative,,,,,,,,,,,,,
2019,19790,Verendrye Electric Coop Inc,ND,Cooperative,,81.48,0.93,87.612903,81.48,0.93,87.612903,80.28,0.85,94.447059,20605,25,N
2019,19791,"Vermont Electric Cooperative, Inc",VT,Cooperative,,333.98,1.96,170.39796,170.42,1.49,114.37584,329.39,1.9,173.36316,39179,35,Y
2019,19798,City of Vernon,CA,Municipal,,,,,,,,,,,,,
2019,19805,Village of Versailles - (OH),OH,Municipal,Y,592.39,16.45,36.01155,26.28,1.22,21.540984,566.11,15.23,37.170716,1895,12,N
