Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Political Subdivision - W/O MED,Average Outage - SAIDI - State - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Political Subdivision - W/O MED,Average Outage - SAIFI - State - W/O MED,Average Outage - SAIFI - Without MED
United States,Maine,Portland,New England,35385,32221,66417,0.12,3,1,472.392,316.4,n/a,n/a,n/a,394.396,4.96,2.185,n/a,n/a,n/a,3.5725
United States,Maryland,Baltimore,South Atlantic,12407,28488,602495,0.1,8,1,141.37,99.234,n/a,n/a,n/a,120.302,1.34,0.953,n/a,n/a,n/a,1.1465
United States,Massachusetts,Boston,New England,10565,39686,694583,0.16,19,1,n/a,324.966,125.455,n/a,n/a,225.2105,n/a,96.483,30.428,n/a,n/a,63.4555
United States,Michigan,Detroit,East North Central,96716,27838,672662,0.11,25,1,169.801,184.088,38.284,n/a,n/a,130.7243333,1.33,1.058,0.477,n/a,n/a,0.955
United States,Michigan,Grand Rapids,East North Central,96716,23225,200217,0.11,25,1,169.801,184.088,38.284,n/a,n/a,130.7243333,1.33,1.058,0.477,n/a,n/a,0.955
United States,Minnesota,Minneapolis,West North Central,86943,35259,425403,0.1,74,1,105.733,101.45,16.092,n/a,n/a,74.425,1.096,1.167,0.4,n/a,n/a,0.887666667
United States,Minnesota,St. Paul,West North Central,86943,30036,307695,0.1,74,1,105.733,101.45,16.092,n/a,n/a,74.425,1.096,1.167,0.4,n/a,n/a,0.887666667
United States,Mississippi,Jackson,East South Central,48430,35308,164422,0.11,21,1,314.598,163.565,20.94,n/a,n/a,166.3676667,2.501,1.288,0.325,n/a,n/a,1.371333333
United States,Missouri,Kansas City,West North Central,69704,31143,491918,0.08,21,1,314.598,163.565,20.94,n/a,n/a,166.3676667,2.501,1.288,0.325,n/a,n/a,1.371333333
United States,Missouri,St. Louis,West North Central,69704,26739,302838,0.08,21,1,314.598,163.565,20.94,n/a,n/a,166.3676667,2.501,1.288,0.325,n/a,n/a,1.371333333
United States,Montana,Billings,Mountain,147040,31854,109550,0.11,27,1,252.796,197.006,57.913,n/a,n/a,169.2383333,2.168,1.331,0.574,n/a,n/a,1.357666667
United States,Nebraska,Lincoln,West North Central,77421,30013,287401,0.09,18,1,119.834,11.924,156.759,n/a,n/a,96.17233333,0.664,0.238,1.177,n/a,n/a,0.693
United States,Nebraska,Omaha,West North Central,77421,30222,468262,0.09,18,1,119.834,11.924,156.759,n/a,n/a,96.17233333,0.664,0.238,1.177,n/a,n/a,0.693
United States,Nevada,Henderson,Mountain,110567,37861,310390,0.08,4,1,69.46,104.02,n/a,13.041,n/a,62.17366667,1.004,1.095,n/a,0.215,n/a,0.771333333
United States,Nevada,Las Vegas,Mountain,110567,27650,644644,0.08,4,1,69.46,104.02,n/a,13.041,n/a,62.17366667,1.004,1.095,n/a,0.215,n/a,0.771333333
United States,New Hampshire,Manchester,New England,9350,29681,112525,0.16,4,1,n/a,131.257,n/a,n/a,n/a,131.257,n/a,1.097,n/a,n/a,n/a,1.097
United States,New Jersey,Newark,Mid-Atlantic,8729,19313,282090,0.11,5,1,n/a,97.697,n/a,n/a,n/a,97.697,n/a,1.016,n/a,n/a,n/a,1.016
United States,New Mexico,Albuquerque,Mountain,121697,28230,560218,0.1,14,1,343.392,99.343,57.913,n/a,n/a,166.8826667,2.384,1,0.574,n/a,n/a,1.319333333
United States,New York,Buffalo,Mid-Atlantic,54556,22294,256304,0.13,12,1,316,147.039,15.13,n/a,n/a,159.3896667,2.25,1.065,0.363,n/a,n/a,1.226
United States,New York,New York City,Mid-Atlantic,54556,35761,8398761,0.13,12,1,316,147.039,15.13,n/a,n/a,159.3896667,2.25,1.065,0.363,n/a,n/a,1.226
United States,New York,Rochester,Mid-Atlantic,54556,21054,206284,0.13,12,1,316,147.039,15.13,n/a,n/a,159.3896667,2.25,1.065,0.363,n/a,n/a,1.226
United States,North Carolina,Charlotte,South Atlantic,53819,34687,872498,0.09,47,1,168.523,184,53.28,n/a,19.156,106.23975,1.459,2.44,0.839,n/a,0.274,1.253
United States,North Carolina,Greensboro,South Atlantic,53819,28502,294722,0.09,47,1,168.523,184,53.28,n/a,19.156,106.23975,1.459,2.44,0.839,n/a,0.274,1.253
United States,North Carolina,Raleigh,South Atlantic,53819,36875,469298,0.09,47,1,168.523,184,53.28,n/a,19.156,106.23975,1.459,2.44,0.839,n/a,0.274,1.253
United States,North Dakota,Fargo,West North Central,70762,31866,124844,0.08,12,1,782.53,105.08,n/a,n/a,n/a,443.805,6.603,0.92,n/a,n/a,n/a,3.7615
United States,Ohio,Cincinnati,East North Central,44825,29156,302605,0.09,43,1,153.949,125.889,73.156,n/a,n/a,117.6646667,1.599,1.02,0.74,n/a,n/a,1.119666667
United States,Ohio,Cleveland,East North Central,44825,20085,383793,0.09,43,1,153.949,125.889,73.156,n/a,n/a,117.6646667,1.599,1.02,0.74,n/a,n/a,1.119666667
United States,Ohio,Columbus,East North Central,44825,26778,892533,0.09,43,1,153.949,125.889,73.156,n/a,n/a,117.6646667,1.599,1.02,0.74,n/a,n/a,1.119666667
United States,Oklahoma,Oklahoma City,West South Central,69899,28365,649021,0.07,31,1,150.402,128.96,50.157,n/a,n/a,109.8396667,1.31,1.289,0.665,n/a,n/a,1.088
United States,Oklahoma,Tulsa,West South Central,69899,29764,400669,0.07,31,1,150.402,128.96,50.157,n/a,n/a,109.8396667,1.31,1.289,0.665,n/a,n/a,1.088
United States,Oregon,Portland,Pacific,98466,36492,653115,0.09,20,1,130.62,111.558,53.63,31.635,n/a,81.86075,1.429,0.901,0.44,0.282,n/a,0.763
United States,Pennsylvania,Philadelphia,Mid-Atlantic,46055,24811,1584138,0.09,12,1,n/a,152.815,32.792,n/a,n/a,92.8035,n/a,1.184,0.407,n/a,n/a,0.7955
United States,Pennsylvania,Pittsburgh,Mid-Atlantic,46055,30397,301048,0.09,13,1,n/a,152.815,32.792,n/a,n/a,92.8035,n/a,1.184,0.407,n/a,n/a,0.7955
United States,Rhode Island,Providence,New England,1212,24051,179335,0.16,1,0,n/a,65.11,n/a,n/a,n/a,65.11,n/a,1.001,n/a,n/a,n/a,1.001
United States,South Carolina,Charleston,South Atlantic,32020,35587,136208,0.12,30,1,122.736,160.053,94.566,n/a,20.561,99.479,1.398,1.317,1.474,n/a,0.313,1.1255
