Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Minimum Wage - State,Minimum Wage - City,Hourly Minimum Wage Applicable to Workers (in USD),Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Minimum Length of Paid Maternity Leave - State,Minimum Length of Paid Maternity Leave - City,Length of Paid Maternity Leave (in Weeks),Minimum Length of Unpaid Maternity Leave - State,Minimum Length of Unpaid Maternity Leave - City,Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days - State,Number of Paid Sick Leave Days - City,Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days - State,Number of Unpaid Sick Leave Days - City,Number of Unpaid Sick Leave Days (in Working Days)
Mexico,México,Naucalpan,n/a,8687,1808.771606,792211,0.805991627,0.805991627,0.805991627,0.92685145,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,México,Nezahualcóyotl,n/a,8687,1808.771606,1105000,0.805991627,0.805991627,0.805991627,0.92685145,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,México,Toluca,n/a,8687,1808.771606,489333,0.805991627,0.805991627,0.805991627,0.92685145,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Mexico City,Mexico City,n/a,573,3276.678206,8855000,0.805991627,0.805991627,0.805991627,0.511634796,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Michoacán,Morelia,n/a,22625,1437.237081,597511,0.805991627,0.805991627,0.805991627,1.166448185,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Morelos,Cuernavaca,n/a,1911,1759.957095,338650,0.805991627,0.805991627,0.805991627,0.952558781,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Nayarit,Tepic,n/a,10756,1921.115864,332863,0.805991627,0.805991627,0.805991627,0.87265043,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Nuevo León,San Pedro,n/a,24771,4583.176761,122009,0.805991627,0.805991627,0.805991627,0.365786151,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Nuevo León,Monterrey,n/a,24771,4583.176761,1136000,0.805991627,0.805991627,0.805991627,0.365786151,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Oaxaca,Oaxaca,n/a,36275,1110.071501,255029,0.805991627,0.805991627,0.805991627,1.510229371,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Puebla,Puebla,n/a,13224,1404.287443,1576000,0.805991627,0.805991627,0.805991627,1.193817258,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Querétaro,Querétaro,n/a,4517,2372.607682,626495,0.805991627,0.805991627,0.805991627,0.706590726,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Quintana Roo,Cancún,n/a,42030,2722.675033,628306,0.805991627,0.805991627,0.805991627,0.615740977,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,San Luis Potosí,San Luis Potosí,n/a,23605,1600.832005,824229,0.805991627,0.805991627,0.805991627,1.047244545,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Sinaloa,Culiacán,n/a,22471,2053.344418,785800,0.805991627,0.805991627,0.805991627,0.816454644,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Tabasco,Villahermosa,n/a,9756,1693.933611,353577,0.805991627,0.805991627,0.805991627,0.989686121,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Tamaulipas,Reynosa,n/a,29106,2222.720261,612183,0.805991627,0.805991627,0.805991627,0.754239125,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Tlaxcala,Apizaco,n/a,1551,1438.233637,76492,0.805991627,0.805991627,0.805991627,1.16563995,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Veracruz,Boca del Rio,n/a,27683,1368.92638,138058,0.805991627,0.805991627,0.805991627,1.224655036,1,11,0,38.56,12,0,12,0,0,0,9,0,9,0,0,0
Mexico,Yucatán,Mérida,n/a,16749,1956.869117,777615,0.805991627,0.805991627,0.805991627,0.856706548,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
Mexico,Zacatecas,Zacatecas,n/a,137.5,1581.809672,1579000,0.805991627,0.805991627,0.805991627,1.05983837,1,11,0,38.56,12,0,12,0,0,0,8,0,8,0,0,0
