State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (in USD) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Minimum Wage - State,Minimum Wage - City,Hourly Minimum Wage Applicable to Workers (in USD),Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Minimum Length of Paid Maternity Leave - State,Minimum Length of Paid Maternity Leave - City,Length of Paid Maternity Leave (in Weeks),Minimum Length of Unpaid Maternity Leave - State,Minimum Length of Unpaid Maternity Leave - City,Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days - State,Number of Paid Sick Leave Days - City,Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days - State,Number of Unpaid Sick Leave Days - City,Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Without MED,Federal Corporate Income Tax Rate,State Corporate Income Marginal Tax Rate,City Corporate Income Marginal Tax Rate,Corporate Income Effective Tax Rate,Federal Personal Income Tax Rate,State Personal Income Marginal Tax Rate,City Personal Income Marginal Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Base,Gross Receipts Tax Base Score,Gross Receipts Tax Rate,Gross Receipts Tax Rate Score,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (in USD) to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Land Title Identification,Immovable Property Identification,Reliability of Information Index,Information on Land-Ownership is Made Publicly-Available,Documents for Completing the Registration of Property Transactions Publicly-Available,Fee Scheduleis Made Publicly-Available,Specific and Independent Mechanism for Filing Complaints,Specific Time Frame for Immovable Property Registration,Deed for Property Title Transfer Can Be Processed Online,Transparency of Information Index,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Local Planning Commission (Rezoning),Local Zoning Board (Rezoning),Local Council / Local Managers (Rezoning),County Board of Commissioners (Rezoning),County Zoning Board (Rezoning),Environmental Review Board (Rezoning),Number of Approvals Needed (Rezoning),Local Planning Commission (Zoning),Local Zoning Board (Zoning),Local Council / Local Managers (Zoning),County Board of Commissioners (Zoning),County Zoning Board (Zoning),Environmental Review Board (Zoning),Number of Approvals Needed (Zoning)
Georgia,Atlanta,South Atlantic,59425,40595,498044,5,2,250,0.006158394,5.15,5.15,5.15,0.263874861,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.08,32,1,153.228,136.731,125.2,138.3863333,1.498,3.235,1.21,1.981,0.21,0.0575,0,0.2675,0.22,0.06,0,0.28,0.0575,0.0575,0,0,0.06,0.01,0,0,0,0,0,10,0.0174,4,28,0.00068974,1,1,2,1,1,1,0,0,1,4,6,200,Yes,Yes,Yes,No,No,No,3,Yes,Yes,Yes,No,No,No,3
Hawaii,Honolulu,Pacific,10931,33776,347397,5,2,125,0.003700853,10.1,10.1,10.1,0.621980104,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.29,4,1,n/a,190.23,n/a,190.23,n/a,2.106,n/a,2.106,0.21,0.064,0,0.274,0.22,0.0825,0,0.3025,0.064,0.044,0,0,0.11,0.014,0,0,0,0,0,10,0.0046,4,41,0.00121388,1,1,2,1,1,1,0,0,0,3,5,400,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Idaho,Boise,Mountain,83642,32147,228790,5,15,170,0.005288207,7.25,7.25,7.25,0.469095094,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,7,1,471.91,137.119,n/a,304.5145,2.539,1.053,n/a,1.796,0.21,0.0693,0,0.2793,0.22,0.074,0,0.294,0.0693,0.0693,0,0,0.074,0.016,0,0,0,0,0,10,0.0061,3,45,0.00139982,1,1,2,1,1,1,0,1,0,4,6,300,Yes,No,Yes,Yes,No,Yes,4,Yes,No,Yes,Yes,No,Yes,4
Illinois,Chicago,East North Central,57915,32560,2705994,5,1,306,0.009398034,9.25,13,13,0.83046683,3,0,0,0,0,0,0,6,0,6,0,6.5,6.5,0,0,0,0.09,22,1,139.607,79.583,17.962,79.05066667,1.539,0.799,0.141,0.826333333,0.21,0.095,0,0.305,0.22,0.0495,0,0.2695,0.095,0.095,0,0,0.0495,0.0495,0,0,0,0,0,10,0.0386,5,106,0.003255528,1,1,2,1,1,1,1,0,1,5,7,500,No,Yes,No,No,No,Yes,2,No,Yes,No,No,No,Yes,2
Indiana,Indianapolis,East North Central,36418,26232,867125,5,1,148,0.005641964,7.25,7.25,7.25,0.574870387,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,41,1,206.758,133.053,50.087,129.966,1.703,1.037,0.577,1.105666667,0.21,0.0575,0,0.2675,0.22,0.0323,0.0202,0.2725,0.0575,0.0575,0,0,0.0323,0.0323,0.0202,0.0202,0,0,0,10,0.0311,4,80,0.00304971,1,1,2,1,1,0,0,0,0,2,4,285,Yes,Yes,Yes,Yes,Yes,No,5,Yes,Yes,Yes,Yes,Yes,No,5
Iowa,Des Moines,West North Central,56272,26494,216853,5,5,100,0.003774439,7.25,10.75,10.75,0.843964671,3,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0.09,40,1,97.91,93,24.676,71.862,1.272,0.93,0.466,0.889333333,0.21,0.12,0,0.33,0.22,0.0792,0,0.2992,0.12,0.06,0,0,0.0898,0.0036,0,0,0,0,0,10,0.0153,5,72,0.002717596,1,1,2,1,1,0,0,0,1,3,5,1000,Yes,Yes,Yes,No,No,Yes,4,Yes,Yes,Yes,No,No,Yes,4
Kansas,Wichita,West North Central,82277,26527,389255,5,1,210,0.007916462,7.25,7.25,7.25,0.5684774,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,26,1,198.411,83.225,57.635,113.0903333,1.414,0.924,1.035,1.124333333,0.21,0.07,0,0.28,0.22,0.057,0,0.277,0.07,0.04,0,0,0.057,0.031,0,0,0,0,0,10,0.0274,4,208,0.007841068,1,1,2,1,1,1,0,0,1,4,6,300,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Kentucky,Lexington,East South Central,40409,32965,323780,5,2,90,0.002730168,7.25,7.25,7.25,0.457454876,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,31,1,172.598,188.015,34.111,131.5746667,1.624,1.203,0.712,1.179666667,0.21,0.05,0,0.26,0.22,0.058,0.0225,0.3005,0.05,0.05,0,0,0.06,0.02,0.0225,0.0225,0,0,0,10,0.0098,5,65,0.001971788,1,1,2,1,1,1,0,0,1,4,6,n/a,Yes,No,Yes,Yes,No,Yes,4,Yes,No,Yes,Yes,No,Yes,4
Kentucky,Louisville,East South Central,40409,28975,620118,5,2,90,0.003106126,7.25,7.25,7.25,0.520448663,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.1,31,1,172.598,188.015,34.111,131.5746667,1.704,1.203,7.12,3.342333333,0.21,0.05,0,0.26,0.22,0.05,0.022,0.292,0.05,0.05,0,0,0.05,0.05,0.022,0.022,0,0,0,10,0.0139,5,75,0.002588438,1,1,2,1,1,1,0,0,1,4,6,300,Yes,Yes,No,No,No,Yes,3,Yes,Yes,No,No,No,Yes,3
Louisiana,New Orleans,West South Central,52378,29275,391006,5,4,180,0.006148591,0,0,7.25,0.515115286,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.09,15,1,274.507,144.707,16.71,145.308,3.27,231.6,0.493,78.45433333,0.21,0.08,0,0.29,0.22,0.06,0,0.28,0.08,0.04,0,0,0.06,0.02,0,0,0,0,0,10,0.008,4,200,0.006831768,1,1,2,1,1,0,0,0,1,3,5,300,Yes,No,Yes,No,No,No,2,Yes,No,Yes,No,No,No,2
