Country,State,City,Number of Firms,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),Length of Paid Maternity Leave (in Weeks),Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Power Outage Duration,Power Outage Frequency,Corporate Income Effective Tax Rate,Personal Income Effective Tax Rate,Gross Receipts Tax,Commercial Property Effective Tax Rate,Parking Minimum Size,Number of Approvals Needed (Rezoning),Number of Approvals Needed (Zoning),Number of Procedures to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Quality of Land Administration Index,Score,Activity
United States,New Hampshire,Manchester,7093,9350,29681,112525,6.7955,9.2086,9.8461,7.1744,5.9173,10,4.7378,10,10,3.0352,9.0723,9.7408,3.856,9.5981,10,4.9622,1.0649,7.5,7.5,5,7.7609,5,77.19736221,15.86423234
United States,New Jersey,Newark,451787,8729,19313,282090,6.7955,10,9.7414,0.4234,5.9173,2.5848,4.7378,5.6945,10,5.7774,9.4694,9.7733,2.6708,8.3926,10,3.6571,2.9665,5,5,6.6667,1.1728,2.5,66.90137974,0.624387156
United States,New Mexico,Albuquerque,11864,121697,28230,560218,6.7955,9.8021,9.9312,5.37,5.9173,10,4.7378,10,10,6.3259,8.6507,9.6515,4.7604,8.2854,10,6.9199,1.0649,7.5,7.5,5,8.7206,2.5,77.79136751,47.21999326
United States,New York,Buffalo,18098,54556,22294,256304,5.1933,10,9.6718,0,5.9173,3.8207,4.7378,10,10,4.6805,8.7394,9.689,0,4.1517,10,3.9964,10,5,5,1.6667,0,7.5,67.19538121,14.16200685
United States,New York,New York City,451787,54556,35761,8398761,5.1933,10,9.8133,3.5387,5.9173,3.8207,4.7378,5.6945,10,4.6805,8.7394,9.689,2.203,6.8628,10,0.4987,1.4452,5,5,1.6667,1.2332,7.5,64.86307694,18.59009002
United States,New York,Rochester,16672,54556,21054,206284,5.1933,10,9.6497,0,5.9173,3.8207,4.7378,10,10,4.6805,8.7394,9.689,4.2302,9.4642,10,4.7273,2.9665,5,5,1.6667,3.1379,5,68.57250182,12.37308061
United States,North Carolina,Charlotte,38770,53819,34687,872498,6.7955,7.4278,9.8989,7.906,5.9173,10,10,10,10,6.8743,9.3683,9.6781,0,4.441,10,7.6769,2.9665,2.5,2.5,5,7.3343,5,74.88126158,22.50446221
United States,North Carolina,Greensboro,11296,53819,28502,294722,6.7955,7.4278,9.8436,6.9647,5.9173,10,4.7378,10,10,6.8743,9.3683,9.6781,5.4777,8.1916,10,0,1.4452,7.5,7.5,5,6.7559,2.5,75.12875335,26.09082861
United States,North Carolina,Raleigh,21759,53819,36875,469298,6.7955,7.4278,9.8899,8.1634,5.9173,10,10,10,10,6.8743,9.3683,9.6781,5.4777,8.1916,10,8.1728,1.4452,7.5,7.5,5,7.4925,7.5,82.42039934,21.56799485
United States,North Dakota,Fargo,4412,70762,31866,124844,6.7955,4.6577,9.8311,7.522,5.9173,10,10,10,10,7.4228,5.3739,8.671,4.9132,9.0516,10,7.4159,1.0649,2.5,5,3.3333,7.053,0,73.1806271,28.29646419
United States,Ohio,Cincinnati,27353,44825,29156,302605,6.7955,8.8128,9.8797,6.051,5.9173,10,10,10,10,6.8743,9.2332,9.7317,5.6025,8.272,4.26,6.1368,2.2059,7.5,7.5,5,5.1439,10,79.74968935,11.0629547
United States,Ohio,Cleveland,32906,44825,20085,383793,6.7955,8.8128,9.8039,3.2543,5.9173,10,4.7378,10,10,6.8743,9.2332,9.7317,6.2574,8.1649,4.26,3.892,0.3043,7.5,7.5,5,2.9507,5,72.99018817,11.66331368
United States,Ohio,Columbus,24813,44825,26778,892533,6.7955,8.8128,9.8648,5.5011,5.9173,10,10,10,10,6.8743,9.2332,9.7317,6.2574,8.1649,4.26,5.2232,1.0649,7.5,7.5,5,4.7126,5,77.07009682,35.97037843
United States,Oklahoma,Oklahoma City,24196,69899,28365,649021,6.7955,9.6043,9.8692,6.9392,5.9173,10,4.7378,10,10,7.9712,9.3257,9.7444,4.3862,8.2586,10,7.442,0.6846,5,5,5,8.1664,5,77.93745423,26.82348322
United States,Oklahoma,Tulsa,16074,69899,29764,400669,6.7955,9.6043,9.8776,7.1885,5.9173,10,10,10,10,7.9712,9.3257,9.7444,4.3862,8.2586,10,7.1026,2.2059,7.5,7.5,5,8.2526,2.5,81.25461709,24.92652731
United States,Oregon,Portland,48112,98466,36492,653115,6.7955,9.8021,9.9125,5.8457,5.9173,10,0,5.6945,10,6.8743,9.6568,9.8748,3.201,7.187,0,4.8056,0.6846,7.5,7.5,3.3333,4.6157,2.5,67.88692688,13.57488776
United States,Pennsylvania,Philadelphia,99793,46055,24811,1584138,6.7955,8.2192,9.8159,6.1794,5.9173,10,4.7378,5.6945,10,6.8743,9.5273,9.8618,1.9348,7.7389,4.6016,5.9802,6.7698,2.5,2.5,0,0,7.5,68.40386163,15.87423968
United States,Pennsylvania,Pittsburgh,37627,46055,30397,301048,6.7955,8.2192,9.8584,7.2938,5.9173,6.2924,4.7378,7.4167,10,6.8743,9.5273,9.8618,3.1418,7.972,3.2924,5.4843,2.9665,5,5,1.6667,2.0745,7.5,69.74116241,8.000850453
United States,Rhode Island,Providence,29086,1212,24051,179335,6.7955,10,9.7662,3.1834,5.9173,7.5283,4.2993,5.6945,10,3.0352,9.855,9.7793,4.0743,8.5935,10,6.1368,2.9665,2.5,2.5,5,6.5159,5,66.97271297,6.165681084
United States,South Carolina,Charleston,12043,32020,35587,136208,6.7955,9.8021,9.8629,8.0157,5.9173,10,10,10,10,5.229,9.4483,9.7293,4.698,7.7228,10,6.2412,2.2059,7.5,7.5,5,9.391,2.5,80.69348463,11.31013867
United States,South Dakota,Sioux Falls,5019,77184,31161,181883,6.7955,10,9.8367,6.1831,5.9173,10,10,10,10,6.8743,9.6723,9.7456,6.2574,9.5981,10,7.1287,1.4452,7.5,7.5,3.3333,8.6091,2.5,81.17118264,36.23889221
United States,Tennessee,Memphis,14082,42180,24243,650618,6.7955,10,9.5625,6.0373,5.9173,10,10,10,10,5.7774,8.2107,7.0291,4.2302,8.7944,10,3.0828,0.6846,7.5,7.5,5,6.9011,5,77.28769069,46.20210197
United States,Tennessee,Nashville,26021,42180,31109,669053,6.7955,10,9.6696,7.4071,5.9173,10,10,10,10,5.7774,8.2107,7.0291,4.2302,8.7944,10,6.3456,1.0649,5,5,5,7.585,5,77.57480711,25.71204028
United States,Texas,Austin,33530,268597,37888,964254,6.7955,9.8021,9.7658,8.2725,5.9173,10,4.7378,2.5342,10,7.4228,8.9324,9.6856,6.2574,9.5981,7.8655,4.9883,1.2551,5,5,3.3333,7.7121,5,74.37801125,28.75794811
United States,Texas,Dallas,411311,268597,31260,1345047,6.7955,9.6043,9.7323,7.4305,5.9173,10,4.7378,2.5342,10,7.4228,8.9324,9.6856,6.2574,9.5981,7.8655,3.9181,1.6963,5,5,3.3333,7.1345,7.5,74.45662029,3.270145948
United States,Texas,Houston,91519,268597,24325,2325502,6.7955,9.8021,9.5749,6.0582,5.9173,10,9.123,10,10,7.4228,8.9324,9.6856,6.2574,9.5981,7.8655,4.4141,1.0649,10,10,3.3333,6.5552,5,80.63678255,25.410046
United States,Texas,San Antonio,27534,268597,24325,1532233,6.7955,9.8021,9.5749,6.0582,5.9173,10,9.123,10,10,7.4228,8.9324,9.6856,6.2574,9.5981,7.8655,4.1008,1.4452,10,10,3.3333,6.3176,5,80.57589755,55.64876153
United States,Utah,Salt Lake City,22030,84899,32954,200591,6.7955,8.615,9.922,7.6779,5.9173,10,4.7378,10,10,7.4228,8.1159,9.8475,4.7136,8.2586,10,9.0081,1.6963,5,5,3.3333,4.3006,7.5,77.23025872,9.105356332
United States,Vermont,Burlington,4822,9623,26011,42899,6.7955,9.6043,9.8266,3.6427,5.9173,10,4.7378,5.6945,10,3.0352,6.3932,9.2417,3.6065,7.7764,10,6.0846,10,2.5,2.5,3.3333,8.3337,2.5,71.3949293,8.896515968
United States,Virginia,Arlington,99621,42775,67061,234965,6.7955,10,9.9741,10,5.9173,5.0565,4.7378,4.8334,10,7.4228,8.3802,9.656,4.3862,7.5219,3.9754,0,1.0649,10,10,5,9.2567,7.5,74.95044586,2.358589053
United States,Virginia,Virginia Beach,23157,42775,34608,450189,6.7955,10,9.9052,7.8961,5.9173,6.9103,4.7378,10,10,7.4228,8.3802,9.6459,4.3862,8.0577,3.3493,8.3033,1.0649,7.5,7.5,5,7.9962,5,76.48256125,19.44073066
United States,Washington,Seattle,73372,71362,51872,744955,6.7955,9.2086,9.8892,5.9423,5.9173,2.5848,4.7378,5.6945,10,6.8743,8.3352,9.725,6.2574,9.0623,0,8.3816,1.4452,7.5,7.5,3.3333,6.992,10,73.05677931,10.15312381
United States,West Virginia,Charleston,2968,24038,33833,47215,6.7955,7.2299,9.8534,6.8764,5.9173,10,4.7378,10,10,6.8743,5.4104,8.923,4.2302,7.5889,2.154,9.3213,2.2059,5,5,5,8.7189,2.5,72.39991189,15.90801887
United States,Wisconsin,Milwaukee,23832,65498,21627,592025,6.7955,10,9.7742,5.2866,5.9173,10,7.3689,10,7.4066,5.7774,9.8947,9.9625,3.7936,7.9184,10,3.2133,1.3387,7.5,7.5,3.3333,7.9959,10,78.27124601,24.84159953
United States,Wyoming,Cheyenne,2343,97818,31981,63957,6.7955,10,9.8914,8.9017,5.9173,10,4.7378,10,10,6.8743,9.46,9.7163,6.2574,9.5981,10,9.243,0.6846,5,5,3.3333,8.2382,5,79.65414171,27.29705506
